date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:17	52826/52826	---M--	200	added ('OK')	image/jpeg	etag:%2264c547b9-ce5a%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/portfolio/4/02.jpg	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/portfolio/4/02.jpg	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:17	133042/133042	---M--	200	added ('OK')	image/jpeg	etag:%2264c547b9-207b2%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/portfolio/4/03.jpg	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/portfolio/4/03.jpg	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:17	13921/13921	---M--	200	added ('OK')	image/jpeg	etag:%2264c547b9-3661%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/portfolio/4/04.jpg	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/portfolio/4/04.jpg	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:17	45670/45670	---M--	200	added ('OK')	image/jpeg	etag:%2264c547b9-b266%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/portfolio/4/05.jpg	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/portfolio/4/05.jpg	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:17	229191/229191	---M--	200	added ('OK')	image/jpeg	etag:%2264c547b9-37f47%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/portfolio/4/06.jpg	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/portfolio/4/06.jpg	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:18	398825/398825	---M--	200	added ('OK')	image/jpeg	etag:%2264c547bd-615e9%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/sass-img/serv/2.jpg	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/sass-img/serv/2.jpg	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:19	408031/408031	---M--	200	added ('OK')	image/jpeg	etag:%2264c547be-639df%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/sass-img/serv/4.jpg	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/sass-img/serv/4.jpg	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:19	4836/4836	---M--	200	added ('OK')	image/png	etag:%2264c547a6-12e4%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/svg-assets/quote.png	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/svg-assets/quote.png	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:19	54048/54048	---M--	200	added ('OK')	image/jpeg	etag:%2264c54788-d320%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/about/sq1.jpg	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/about/sq1.jpg	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:19	617351/617351	---M--	200	added ('OK')	image/jpeg	etag:%2264c547be-96b87%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/sass-img/serv/3.jpg	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/sass-img/serv/3.jpg	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:20	293/293	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Apr%202024%2011:06:21%20GMT	https://geekfolio-nextjs.themescamp.com/dark/home-main/page-contact.html	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/home-main/page-contact.html	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:21	1917780/1917780	---M--	200	added ('OK')	image/jpeg	etag:%2264c547be-1d4354%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/sass-img/serv/1.jpg	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/sass-img/serv/1.jpg	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:21	92064/92064	---M--	200	added ('OK')	font/woff2	etag:W/%22167a0-ABUDSebr2vJiivnqTlbWsC29o5M%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/fonts/bootstrap-icons.woff2?30af91bf14e37666a085fb8a161ff36d	C:/Users/shrey/Desktop/Hawkeye2/cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/fonts/bootstrap-iconsf114.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/bootstrap-icons.css)
16:36:21	408031/408031	---M--	200	added ('OK')	image/jpeg	etag:%2264c547bc-639df%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/sass-img/blog/2.jpg	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/sass-img/blog/2.jpg	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:21	792049/792049	---M--	200	added ('OK')	image/jpeg	etag:%2264c547bd-c15f1%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/sass-img/blog/1.jpg	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/sass-img/blog/1.jpg	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:21	123384/123384	---M--	200	added ('OK')	font/woff	etag:W/%221e1f8-1kTWG0vHklh1rZU8w4G0pyKzNNI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/fonts/bootstrap-icons.woff?30af91bf14e37666a085fb8a161ff36d	C:/Users/shrey/Desktop/Hawkeye2/cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/fonts/bootstrap-iconsf114.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/bootstrap-icons.css)
16:36:22	162770/162770	---MCZ	200	added ('OK')	text/css	etag:W/%2264c54785-27bd2%22	https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/bootstrap.min.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/bootstrap.min.css	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins.css)
16:36:22	16962/16962	---MCZ	200	added ('OK')	text/css	etag:W/%2264c54785-4242%22	https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/animate.min.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/animate.min.css	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins.css)
16:36:22	51310/51310	---MCZ	200	added ('OK')	text/css	etag:W/%2264c54785-c86e%22	https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/ionicons.min.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/ionicons.min.css	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins.css)
16:36:22	10389/10389	---MCZ	200	added ('OK')	text/css	etag:W/%2264c54786-2895%22	https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/pe-icon-7-stroke.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/pe-icon-7-stroke.css	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins.css)
16:36:23	59310/59310	---MCZ	200	added ('OK')	text/css	etag:W/%2264c54785-e7ae%22	https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/fontawesome-all.min.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/fontawesome-all.min.css	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins.css)
16:36:23	2942/2942	---MCZ	200	added ('OK')	text/css	etag:W/%2264c54786-b7e%22	https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/justifiedGallery.min.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/justifiedGallery.min.css	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins.css)
16:36:23	7302/7302	---MCZ	200	added ('OK')	text/css	etag:W/%2264c54786-1c86%22	https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/magnific-popup.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/magnific-popup.css	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins.css)
16:36:23	3174/3174	---MCZ	200	added ('OK')	text/css	etag:W/%2264c54786-c66%22	https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/YouTubePopUp.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/YouTubePopUp.css	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins.css)
16:36:23	1895/1895	---MCZ	200	added ('OK')	text/css	etag:W/%2264c54786-767%22	https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/slick.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/slick.css	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins.css)
16:36:24	2878/2878	---MCZ	200	added ('OK')	text/css	etag:W/%2264c54786-b3e%22	https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/slick-theme.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/slick-theme.css	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins.css)
16:36:24	13678/13678	---MCZ	200	added ('OK')	text/css	etag:W/%2264c54786-356e%22	https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/swiper.min.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/swiper.min.css	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins.css)
16:36:24	11004/11004	---M--	200	added ('OK')	image/png	etag:%2264c54794-2afc%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/patterns/noise.png	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/patterns/noise.png	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/style.css)
16:36:24	1650/1650	---M--	200	added ('OK')	image/png	etag:%2264c54793-672%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/patterns/dots2.png	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/patterns/dots2.png	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/style.css)
16:36:25	35212/35212	---M--	200	added ('OK')	image/png	etag:%2264c54793-898c%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/patterns/bg-pattern.png	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/patterns/bg-pattern.png	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/style.css)
16:36:25	18571/18571	---M--	200	added ('OK')	image/png	etag:%2264c547a6-488b%22	https://geekfolio-nextjs.themescamp.com/dark/assets/imgs/svg-assets/left-quote.png	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/imgs/svg-assets/left-quote.png	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/style.css)
16:36:25	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/bootstrap-icons.css)
16:36:26	293/293	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Apr%202024%2011:06:26%20GMT	https://geekfolio-nextjs.themescamp.com/dark/assets/css/images/close.png	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/images/close.png	(from https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins/YouTubePopUp.css)
